checkmk,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
monitoring,2025-05-09T15:26:23,3.48%,1064.96,2322856
monitoring,2025-05-09T15:26:39,415.74%,1303.55,2322856
monitoring,2025-05-09T15:26:56,0.53%,1064.96,2322856
monitoring,2025-05-09T15:27:13,14.77%,1064.96,2322856
monitoring,2025-05-09T15:27:29,715.65%,1507.33,2322856
monitoring,2025-05-09T15:27:46,0.50%,1064.96,2322856
monitoring,2025-05-09T15:28:02,797.14%,2291.71,2322856
monitoring,2025-05-09T15:28:19,438.14%,1064.96,2322856
monitoring,2025-05-09T15:28:35,24.89%,1064.96,2322856
monitoring,2025-05-09T15:28:52,1.62%,1065.98,2322856
monitoring,2025-05-09T15:29:08,411.48%,1110.02,2322856
monitoring,2025-05-09T15:29:25,768.42%,1953.79,2322856
monitoring,2025-05-09T15:29:42,79.71%,1065.98,2322856
monitoring,2025-05-09T15:29:58,0.52%,1065.98,2322856
monitoring,2025-05-09T15:30:15,0.51%,1065.98,2322856
monitoring,2025-05-09T15:30:31,382.56%,1302.53,2322856
monitoring,2025-05-09T15:30:48,0.48%,1065.98,2322856
monitoring,2025-05-09T15:31:04,785.58%,2799.62,2322856
monitoring,2025-05-09T15:31:21,0.47%,1065.98,2322856
monitoring,2025-05-09T15:31:37,84.81%,1067.01,2322856
monitoring,2025-05-09T15:31:54,3.20%,1065.98,2322856
monitoring,2025-05-09T15:32:11,176.61%,1077.25,2322856
monitoring,2025-05-09T15:32:27,743.74%,2653.18,2322856
monitoring,2025-05-09T15:32:44,0.42%,1065.98,2322856
monitoring,2025-05-09T15:33:00,105.67%,1067.01,2322856
monitoring,2025-05-09T15:33:17,0.48%,1067.01,2322856
monitoring,2025-05-09T15:33:33,366.87%,1245.18,2322856
monitoring,2025-05-09T15:33:50,0.43%,1067.01,2322856
monitoring,2025-05-09T15:34:06,523.79%,3264.51,2322856
monitoring,2025-05-09T15:34:23,0.48%,1067.01,2322856
monitoring,2025-05-09T15:34:40,413.66%,1093.63,2322856
monitoring,2025-05-09T15:34:56,1.55%,1068.03,2322856
monitoring,2025-05-09T15:35:13,0.49%,1068.03,2322856
monitoring,2025-05-09T15:35:29,719.51%,1612.8,2322856
monitoring,2025-05-09T15:35:46,0.47%,1068.03,2322856
monitoring,2025-05-09T15:36:02,797.80%,2270.21,2322856
monitoring,2025-05-09T15:36:19,281.16%,1068.03,2322856
monitoring,2025-05-09T15:36:35,19.21%,1068.03,2322856
monitoring,2025-05-09T15:36:52,0.56%,1068.03,2322856
monitoring,2025-05-09T15:37:09,384.69%,1068.03,2322856
monitoring,2025-05-09T15:37:25,777.35%,1986.56,2322856
monitoring,2025-05-09T15:37:42,94.21%,1113.09,2322856
monitoring,2025-05-09T15:37:58,17.99%,1068.03,2322856
monitoring,2025-05-09T15:38:15,0.52%,1068.03,2322856
monitoring,2025-05-09T15:38:31,294.81%,1234.94,2322856
monitoring,2025-05-09T15:38:48,0.57%,1068.03,2322856
monitoring,2025-05-09T15:39:04,796.74%,2863.1,2322856
monitoring,2025-05-09T15:39:21,0.45%,1068.03,2322856
monitoring,2025-05-09T15:39:38,80.66%,1114.11,2322856
monitoring,2025-05-09T15:39:54,0.45%,1069.06,2322856
monitoring,2025-05-09T15:40:11,170.45%,1069.06,2322856
monitoring,2025-05-09T15:40:27,698.85%,2725.89,2322856
monitoring,2025-05-09T15:40:44,0.54%,1069.06,2322856
monitoring,2025-05-09T15:41:00,66.74%,1433.6,2322856
monitoring,2025-05-09T15:41:17,0.47%,1069.06,2322856
monitoring,2025-05-09T15:41:33,314.63%,1247.23,2322856
monitoring,2025-05-09T15:41:50,0.43%,1069.06,2322856
monitoring,2025-05-09T15:42:06,484.29%,3537.92,2322856
monitoring,2025-05-09T15:42:23,28.75%,1076.22,2322856
monitoring,2025-05-09T15:42:40,436.92%,1249.28,2322856
monitoring,2025-05-09T15:42:56,0.39%,1070.08,2322856
monitoring,2025-05-09T15:43:13,2.53%,1070.08,2322856
monitoring,2025-05-09T15:43:29,693.45%,1693.7,2322856
monitoring,2025-05-09T15:43:46,0.45%,1070.08,2322856
monitoring,2025-05-09T15:44:02,798.13%,2467.84,2322856
monitoring,2025-05-09T15:44:19,339.59%,1070.08,2322856
monitoring,2025-05-09T15:44:35,18.42%,1070.08,2322856
monitoring,2025-05-09T15:44:52,0.49%,1070.08,2322856
monitoring,2025-05-09T15:45:09,578.90%,1161.22,2322856
monitoring,2025-05-09T15:45:25,777.74%,1984.51,2322856
monitoring,2025-05-09T15:45:42,117.76%,1116.16,2322856
monitoring,2025-05-09T15:45:58,5.25%,1071.1,2322856
monitoring,2025-05-09T15:46:15,0.42%,1071.1,2322856
monitoring,2025-05-09T15:46:31,310.12%,1240.06,2322856
monitoring,2025-05-09T15:46:48,9.33%,1077.25,2322856
monitoring,2025-05-09T15:47:04,788.31%,2866.18,2322856
monitoring,2025-05-09T15:47:21,1.48%,1071.1,2322856
monitoring,2025-05-09T15:47:38,82.53%,1116.16,2322856
monitoring,2025-05-09T15:47:54,0.44%,1071.1,2322856
monitoring,2025-05-09T15:48:11,163.35%,1081.34,2322856
monitoring,2025-05-09T15:48:27,758.02%,2727.94,2322856
monitoring,2025-05-09T15:48:44,24.64%,1076.22,2322856
monitoring,2025-05-09T15:49:00,99.26%,1314.82,2322856
monitoring,2025-05-09T15:49:17,0.46%,1071.1,2322856
monitoring,2025-05-09T15:49:33,303.05%,1312.77,2322856
monitoring,2025-05-09T15:49:50,2.43%,1072.13,2322856
monitoring,2025-05-09T15:50:06,544.54%,3771.39,2322856
monitoring,2025-05-09T15:50:23,2.89%,1072.13,2322856
monitoring,2025-05-09T15:50:40,398.89%,1296.38,2322856
monitoring,2025-05-09T15:50:56,1.85%,1072.13,2322856
monitoring,2025-05-09T15:51:13,3.26%,1073.15,2322856
monitoring,2025-05-09T15:51:29,738.20%,1565.7,2322856
monitoring,2025-05-09T15:51:46,4.10%,1073.15,2322856
monitoring,2025-05-09T15:52:02,796.37%,2244.61,2322856
monitoring,2025-05-09T15:52:19,339.47%,1073.15,2322856
monitoring,2025-05-09T15:52:35,16.37%,1073.15,2322856
monitoring,2025-05-09T15:52:52,1.70%,1073.15,2322856
monitoring,2025-05-09T15:53:09,254.14%,1117.18,2322856
monitoring,2025-05-09T15:53:25,776.89%,2031.62,2322856
monitoring,2025-05-09T15:53:42,72.54%,1073.15,2322856
monitoring,2025-05-09T15:53:58,6.49%,1073.15,2322856
monitoring,2025-05-09T15:54:15,1.76%,1073.15,2322856
monitoring,2025-05-09T15:54:31,315.82%,1254.4,2322856
monitoring,2025-05-09T15:54:48,0.52%,1073.15,2322856
monitoring,2025-05-09T15:55:04,797.72%,2873.34,2322856
monitoring,2025-05-09T15:55:21,2.43%,1073.15,2322856
monitoring,2025-05-09T15:55:38,84.33%,1073.15,2322856
monitoring,2025-05-09T15:55:54,20.30%,1074.18,2322856
monitoring,2025-05-09T15:56:11,160.30%,1073.15,2322856
monitoring,2025-05-09T15:56:27,766.96%,2817.02,2322856
monitoring,2025-05-09T15:56:44,4.52%,1073.15,2322856
monitoring,2025-05-09T15:57:00,34.63%,1306.62,2322856
monitoring,2025-05-09T15:57:17,2.83%,1074.18,2322856
monitoring,2025-05-09T15:57:33,308.49%,1252.35,2322856
monitoring,2025-05-09T15:57:50,0.40%,1074.18,2322856
monitoring,2025-05-09T15:58:06,517.17%,3276.8,2322856
monitoring,2025-05-09T15:58:23,1.89%,1074.18,2322856
monitoring,2025-05-09T15:58:40,400.23%,1298.43,2322856
monitoring,2025-05-09T15:58:56,1.95%,1074.18,2322856
monitoring,2025-05-09T15:59:13,0.53%,1075.2,2322856
monitoring,2025-05-09T15:59:29,699.19%,1527.81,2322856
monitoring,2025-05-09T15:59:46,43.09%,1074.18,2322856
monitoring,2025-05-09T16:00:02,796.17%,2383.87,2322856
monitoring,2025-05-09T16:00:19,404.10%,1075.2,2322856
monitoring,2025-05-09T16:00:35,2.43%,1075.2,2322856
monitoring,2025-05-09T16:00:52,0.43%,1075.2,2322856
monitoring,2025-05-09T16:01:09,363.42%,1108.99,2322856
