checkmk,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
monitoring,2025-05-09T19:49:20,33.68%,1092.61,2322856
monitoring,2025-05-09T19:49:36,0.40%,1091.58,2322856
monitoring,2025-05-09T19:49:53,0.42%,1092.61,2322856
monitoring,2025-05-09T19:50:09,688.87%,1521.66,2322856
monitoring,2025-05-09T19:50:26,779.61%,2259.97,2322856
monitoring,2025-05-09T19:50:42,47.16%,1092.61,2322856
monitoring,2025-05-09T19:50:59,7.87%,1092.61,2322856
monitoring,2025-05-09T19:51:15,13.87%,1091.58,2322856
monitoring,2025-05-09T19:51:32,228.83%,1159.17,2322856
monitoring,2025-05-09T19:51:49,2.16%,1091.58,2322856
monitoring,2025-05-09T19:52:05,791.10%,3246.08,2322856
monitoring,2025-05-09T19:52:22,2.38%,1092.61,2322856
monitoring,2025-05-09T19:52:38,203.77%,1217.54,2322856
monitoring,2025-05-09T19:52:55,0.53%,1091.58,2322856
monitoring,2025-05-09T19:53:11,377.10%,1394.69,2322856
monitoring,2025-05-09T19:53:28,644.28%,2765.82,2322856
monitoring,2025-05-09T19:53:44,0.49%,1091.58,2322856
monitoring,2025-05-09T19:54:01,325.45%,1510.4,2322856
monitoring,2025-05-09T19:54:18,2.16%,1092.61,2322856
monitoring,2025-05-09T19:54:34,236.20%,1161.22,2322856
monitoring,2025-05-09T19:54:51,2.71%,1092.61,2322856
monitoring,2025-05-09T19:55:07,526.65%,3154.94,2322856
monitoring,2025-05-09T19:55:24,177.86%,1268.74,2322856
monitoring,2025-05-09T19:55:40,291.87%,1219.58,2322856
monitoring,2025-05-09T19:55:57,1.63%,1092.61,2322856
monitoring,2025-05-09T19:56:13,2.42%,1092.61,2322856
monitoring,2025-05-09T19:56:30,683.14%,1364.99,2322856
monitoring,2025-05-09T19:56:47,0.52%,1092.61,2322856
monitoring,2025-05-09T19:57:03,798.03%,2476.03,2322856
monitoring,2025-05-09T19:57:20,2.21%,1092.61,2322856
monitoring,2025-05-09T19:57:36,0.51%,1092.61,2322856
monitoring,2025-05-09T19:57:53,2.08%,1092.61,2322856
monitoring,2025-05-09T19:58:09,537.36%,1480.7,2322856
monitoring,2025-05-09T19:58:26,786.56%,2277.38,2322856
monitoring,2025-05-09T19:58:42,4.34%,1092.61,2322856
monitoring,2025-05-09T19:58:59,6.29%,1092.61,2322856
monitoring,2025-05-09T19:59:16,5.22%,1092.61,2322856
monitoring,2025-05-09T19:59:32,228.75%,1173.5,2322856
monitoring,2025-05-09T19:59:49,46.14%,1092.61,2322856
monitoring,2025-05-09T20:00:05,769.66%,3208.19,2322856
monitoring,2025-05-09T20:00:22,2.16%,1092.61,2322856
monitoring,2025-05-09T20:00:38,233.21%,1226.75,2322856
monitoring,2025-05-09T20:00:55,2.02%,1092.61,2322856
monitoring,2025-05-09T20:01:11,414.62%,1226.75,2322856
monitoring,2025-05-09T20:01:28,555.51%,2675.71,2322856
monitoring,2025-05-09T20:01:45,0.44%,1092.61,2322856
monitoring,2025-05-09T20:02:01,455.15%,2026.5,2322856
monitoring,2025-05-09T20:02:18,77.78%,1179.65,2322856
monitoring,2025-05-09T20:02:34,208.58%,1172.48,2322856
monitoring,2025-05-09T20:02:51,0.40%,1092.61,2322856
monitoring,2025-05-09T20:03:07,652.77%,2342.91,2322856
monitoring,2025-05-09T20:03:24,333.87%,1498.11,2322856
monitoring,2025-05-09T20:03:40,255.74%,1137.66,2322856
monitoring,2025-05-09T20:03:57,17.62%,1092.61,2322856
monitoring,2025-05-09T20:04:14,0.51%,1092.61,2322856
monitoring,2025-05-09T20:04:30,655.47%,1284.1,2322856
monitoring,2025-05-09T20:04:47,0.50%,1092.61,2322856
monitoring,2025-05-09T20:05:03,798.20%,2617.34,2322856
monitoring,2025-05-09T20:05:20,19.61%,1092.61,2322856
monitoring,2025-05-09T20:05:36,3.84%,1092.61,2322856
monitoring,2025-05-09T20:05:53,0.45%,1092.61,2322856
monitoring,2025-05-09T20:06:09,579.48%,1405.95,2322856
monitoring,2025-05-09T20:06:26,788.52%,2331.65,2322856
monitoring,2025-05-09T20:06:43,4.91%,1092.61,2322856
monitoring,2025-05-09T20:06:59,3.11%,1092.61,2322856
monitoring,2025-05-09T20:07:16,0.56%,1092.61,2322856
monitoring,2025-05-09T20:07:32,213.84%,1170.43,2322856
monitoring,2025-05-09T20:07:49,0.48%,1092.61,2322856
monitoring,2025-05-09T20:08:05,755.24%,3463.17,2322856
monitoring,2025-05-09T20:08:22,34.87%,1099.78,2322856
monitoring,2025-05-09T20:08:38,290.83%,1242.11,2322856
monitoring,2025-05-09T20:08:55,0.47%,1092.61,2322856
monitoring,2025-05-09T20:09:12,417.64%,1271.81,2322856
monitoring,2025-05-09T20:09:28,581.29%,2655.23,2322856
monitoring,2025-05-09T20:09:45,0.40%,1092.61,2322856
monitoring,2025-05-09T20:10:01,528.52%,1682.43,2322856
monitoring,2025-05-09T20:10:18,74.98%,1167.36,2322856
monitoring,2025-05-09T20:10:34,195.60%,1191.94,2322856
monitoring,2025-05-09T20:10:51,0.47%,1092.61,2322856
monitoring,2025-05-09T20:11:07,715.57%,2016.26,2322856
monitoring,2025-05-09T20:11:24,385.26%,1525.76,2322856
monitoring,2025-05-09T20:11:41,254.03%,1182.72,2322856
monitoring,2025-05-09T20:11:57,0.42%,1092.61,2322856
monitoring,2025-05-09T20:12:14,0.60%,1092.61,2322856
monitoring,2025-05-09T20:12:30,602.46%,1267.71,2322856
monitoring,2025-05-09T20:12:47,47.80%,1092.61,2322856
monitoring,2025-05-09T20:13:03,797.33%,2561.02,2322856
monitoring,2025-05-09T20:13:20,0.48%,1092.61,2322856
monitoring,2025-05-09T20:13:36,2.40%,1092.61,2322856
monitoring,2025-05-09T20:13:53,0.48%,1092.61,2322856
monitoring,2025-05-09T20:14:10,546.12%,1424.38,2322856
monitoring,2025-05-09T20:14:26,785.32%,2308.1,2322856
monitoring,2025-05-09T20:14:43,2.93%,1093.63,2322856
monitoring,2025-05-09T20:14:59,0.59%,1092.61,2322856
monitoring,2025-05-09T20:15:16,2.15%,1092.61,2322856
monitoring,2025-05-09T20:15:32,189.81%,1181.7,2322856
monitoring,2025-05-09T20:15:49,0.43%,1092.61,2322856
monitoring,2025-05-09T20:16:05,778.87%,3407.87,2322856
monitoring,2025-05-09T20:16:22,0.53%,1092.61,2322856
monitoring,2025-05-09T20:16:39,246.02%,1092.61,2322856
monitoring,2025-05-09T20:16:55,0.43%,1092.61,2322856
monitoring,2025-05-09T20:17:12,338.76%,1093.63,2322856
monitoring,2025-05-09T20:17:28,574.75%,2618.37,2322856
monitoring,2025-05-09T20:17:45,25.45%,1099.78,2322856
monitoring,2025-05-09T20:18:01,638.51%,1771.52,2322856
monitoring,2025-05-09T20:18:18,94.91%,1196.03,2322856
monitoring,2025-05-09T20:18:34,188.55%,1211.39,2322856
monitoring,2025-05-09T20:18:51,0.51%,1092.61,2322856
monitoring,2025-05-09T20:19:08,645.72%,2312.19,2322856
monitoring,2025-05-09T20:19:24,518.28%,1645.57,2322856
monitoring,2025-05-09T20:19:41,236.24%,1111.04,2322856
monitoring,2025-05-09T20:19:57,0.40%,1092.61,2322856
monitoring,2025-05-09T20:20:14,2.69%,1093.63,2322856
monitoring,2025-05-09T20:20:30,485.85%,1181.7,2322856
monitoring,2025-05-09T20:20:47,4.23%,1093.63,2322856
monitoring,2025-05-09T20:21:03,797.14%,2595.84,2322856
monitoring,2025-05-09T20:21:20,0.46%,1092.61,2322856
monitoring,2025-05-09T20:21:37,26.66%,1100.8,2322856
monitoring,2025-05-09T20:21:53,20.21%,1092.61,2322856
monitoring,2025-05-09T20:22:10,545.30%,1115.14,2322856
monitoring,2025-05-09T20:22:26,797.32%,2344.96,2322856
monitoring,2025-05-09T20:22:43,2.10%,1093.63,2322856
monitoring,2025-05-09T20:22:59,0.46%,1092.61,2322856
monitoring,2025-05-09T20:23:16,1.83%,1093.63,2322856
monitoring,2025-05-09T20:23:32,182.76%,1211.39,2322856
monitoring,2025-05-09T20:23:49,2.70%,1093.63,2322856
monitoring,2025-05-09T20:24:06,692.74%,3312.64,2322856
monitoring,2025-05-09T20:24:22,0.50%,1092.61,2322856
monitoring,2025-05-09T20:24:39,242.94%,1093.63,2322856
monitoring,2025-05-09T20:24:55,2.84%,1092.61,2322856
monitoring,2025-05-09T20:25:12,380.47%,1093.63,2322856
monitoring,2025-05-09T20:25:28,571.19%,2382.85,2322856
monitoring,2025-05-09T20:25:45,2.71%,1093.63,2322856
monitoring,2025-05-09T20:26:01,627.42%,1889.28,2322856
monitoring,2025-05-09T20:26:18,223.91%,1259.52,2322856
monitoring,2025-05-09T20:26:35,193.52%,1181.7,2322856
monitoring,2025-05-09T20:26:51,0.43%,1092.61,2322856
monitoring,2025-05-09T20:27:08,664.10%,2016.26,2322856
monitoring,2025-05-09T20:27:24,521.32%,1634.3,2322856
monitoring,2025-05-09T20:27:41,217.55%,1112.06,2322856
monitoring,2025-05-09T20:27:57,1.99%,1092.61,2322856
monitoring,2025-05-09T20:28:14,0.50%,1093.63,2322856
monitoring,2025-05-09T20:28:30,604.91%,1209.34,2322856
monitoring,2025-05-09T20:28:47,1.90%,1093.63,2322856
monitoring,2025-05-09T20:29:03,797.10%,2633.73,2322856
monitoring,2025-05-09T20:29:20,40.57%,1093.63,2322856
monitoring,2025-05-09T20:29:37,17.91%,1103.87,2322856
monitoring,2025-05-09T20:29:53,0.47%,1093.63,2322856
monitoring,2025-05-09T20:30:10,612.52%,1105.92,2322856
monitoring,2025-05-09T20:30:26,790.05%,2413.57,2322856
monitoring,2025-05-09T20:30:43,26.14%,1093.63,2322856
monitoring,2025-05-09T20:30:59,3.19%,1093.63,2322856
monitoring,2025-05-09T20:31:16,0.39%,1092.61,2322856
monitoring,2025-05-09T20:31:32,159.03%,1093.63,2322856
monitoring,2025-05-09T20:31:49,2.60%,1093.63,2322856
monitoring,2025-05-09T20:32:06,766.02%,3592.19,2322856
monitoring,2025-05-09T20:32:22,0.52%,1093.63,2322856
monitoring,2025-05-09T20:32:39,251.85%,1093.63,2322856
monitoring,2025-05-09T20:32:55,2.03%,1093.63,2322856
monitoring,2025-05-09T20:33:12,339.63%,1093.63,2322856
monitoring,2025-05-09T20:33:28,562.36%,2537.47,2322856
monitoring,2025-05-09T20:33:45,0.52%,1093.63,2322856
monitoring,2025-05-09T20:34:01,668.29%,1817.6,2322856
monitoring,2025-05-09T20:34:18,169.44%,1250.3,2322856
monitoring,2025-05-09T20:34:35,206.04%,1093.63,2322856
monitoring,2025-05-09T20:34:51,2.37%,1093.63,2322856
monitoring,2025-05-09T20:35:08,620.78%,1929.22,2322856
monitoring,2025-05-09T20:35:24,591.42%,1694.72,2322856
monitoring,2025-05-09T20:35:41,208.12%,1112.06,2322856
monitoring,2025-05-09T20:35:57,3.34%,1093.63,2322856
monitoring,2025-05-09T20:36:14,0.51%,1093.63,2322856
monitoring,2025-05-09T20:36:30,504.44%,1182.72,2322856
monitoring,2025-05-09T20:36:47,0.45%,1093.63,2322856
monitoring,2025-05-09T20:37:04,797.60%,2695.17,2322856
monitoring,2025-05-09T20:37:20,0.49%,1093.63,2322856
monitoring,2025-05-09T20:37:37,23.60%,1107.97,2322856
monitoring,2025-05-09T20:37:53,3.28%,1093.63,2322856
monitoring,2025-05-09T20:38:10,493.44%,1146.88,2322856
monitoring,2025-05-09T20:38:26,787.12%,2424.83,2322856
monitoring,2025-05-09T20:38:43,0.42%,1093.63,2322856
monitoring,2025-05-09T20:38:59,19.01%,1093.63,2322856
monitoring,2025-05-09T20:39:16,0.53%,1093.63,2322856
monitoring,2025-05-09T20:39:33,164.68%,1096.7,2322856
monitoring,2025-05-09T20:39:49,0.54%,1093.63,2322856
monitoring,2025-05-09T20:40:06,756.85%,3436.54,2322856
monitoring,2025-05-09T20:40:22,0.50%,1093.63,2322856
monitoring,2025-05-09T20:40:39,298.95%,1222.66,2322856
monitoring,2025-05-09T20:40:55,19.29%,1093.63,2322856
monitoring,2025-05-09T20:41:12,367.41%,1093.63,2322856
monitoring,2025-05-09T20:41:28,620.01%,2328.58,2322856
monitoring,2025-05-09T20:41:45,0.45%,1093.63,2322856
monitoring,2025-05-09T20:42:02,712.29%,1815.55,2322856
monitoring,2025-05-09T20:42:18,261.68%,1285.12,2322856
monitoring,2025-05-09T20:42:35,129.55%,1093.63,2322856
monitoring,2025-05-09T20:42:51,0.53%,1093.63,2322856
monitoring,2025-05-09T20:43:08,660.37%,1305.6,2322856
monitoring,2025-05-09T20:43:24,547.08%,1682.43,2322856
monitoring,2025-05-09T20:43:41,192.81%,1122.3,2322856
monitoring,2025-05-09T20:43:57,0.44%,1093.63,2322856
monitoring,2025-05-09T20:44:14,76.15%,1093.63,2322856
monitoring,2025-05-09T20:44:31,474.85%,1182.72,2322856
monitoring,2025-05-09T20:44:47,0.44%,1093.63,2322856
monitoring,2025-05-09T20:45:04,797.81%,2716.67,2322856
monitoring,2025-05-09T20:45:20,0.46%,1093.63,2322856
monitoring,2025-05-09T20:45:37,4.64%,1096.7,2322856
monitoring,2025-05-09T20:45:53,5.33%,1093.63,2322856
monitoring,2025-05-09T20:46:10,413.29%,1148.93,2322856
monitoring,2025-05-09T20:46:26,767.83%,2400.26,2322856
monitoring,2025-05-09T20:46:43,0.52%,1093.63,2322856
monitoring,2025-05-09T20:47:00,0.47%,1093.63,2322856
monitoring,2025-05-09T20:47:16,80.70%,1093.63,2322856
monitoring,2025-05-09T20:47:33,217.70%,1093.63,2322856
monitoring,2025-05-09T20:47:49,0.51%,1093.63,2322856
monitoring,2025-05-09T20:48:06,725.90%,3384.32,2322856
monitoring,2025-05-09T20:48:22,0.45%,1093.63,2322856
monitoring,2025-05-09T20:48:39,289.58%,1163.26,2322856
monitoring,2025-05-09T20:48:55,0.50%,1093.63,2322856
monitoring,2025-05-09T20:49:12,242.05%,1093.63,2322856
monitoring,2025-05-09T20:49:29,592.87%,2208.77,2322856
monitoring,2025-05-09T20:49:45,2.23%,1093.63,2322856
monitoring,2025-05-09T20:50:02,796.94%,2111.49,2322856
monitoring,2025-05-09T20:50:18,392.66%,1350.66,2322856
monitoring,2025-05-09T20:50:35,143.31%,1093.63,2322856
monitoring,2025-05-09T20:50:51,1.73%,1093.63,2322856
monitoring,2025-05-09T20:51:08,709.07%,1356.8,2322856
monitoring,2025-05-09T20:51:24,712.56%,1774.59,2322856
monitoring,2025-05-09T20:51:41,170.75%,1124.35,2322856
monitoring,2025-05-09T20:51:58,0.46%,1093.63,2322856
monitoring,2025-05-09T20:52:14,2.08%,1093.63,2322856
monitoring,2025-05-09T20:52:31,503.85%,1148.93,2322856
monitoring,2025-05-09T20:52:47,1.85%,1093.63,2322856
monitoring,2025-05-09T20:53:04,796.87%,2662.4,2322856
monitoring,2025-05-09T20:53:20,30.92%,1119.23,2322856
monitoring,2025-05-09T20:53:37,25.86%,1119.23,2322856
monitoring,2025-05-09T20:53:53,5.39%,1093.63,2322856
monitoring,2025-05-09T20:54:10,413.41%,1148.93,2322856
monitoring,2025-05-09T20:54:26,774.68%,2466.82,2322856
monitoring,2025-05-09T20:54:43,0.46%,1093.63,2322856
monitoring,2025-05-09T20:55:00,0.47%,1093.63,2322856
monitoring,2025-05-09T20:55:16,2.58%,1091.58,2322856
monitoring,2025-05-09T20:55:33,179.84%,1131.52,2322856
monitoring,2025-05-09T20:55:49,2.08%,1090.56,2322856
monitoring,2025-05-09T20:56:06,647.94%,3589.12,2322856
monitoring,2025-05-09T20:56:22,4.23%,1091.58,2322856
monitoring,2025-05-09T20:56:39,306.04%,1224.7,2322856
monitoring,2025-05-09T20:56:55,0.43%,1090.56,2322856
monitoring,2025-05-09T20:57:12,263.93%,1091.58,2322856
monitoring,2025-05-09T20:57:29,614.75%,2084.86,2322856
monitoring,2025-05-09T20:57:45,29.80%,1091.58,2322856
monitoring,2025-05-09T20:58:02,796.30%,2038.78,2322856
monitoring,2025-05-09T20:58:18,361.89%,1327.1,2322856
monitoring,2025-05-09T20:58:35,110.12%,1091.58,2322856
monitoring,2025-05-09T20:58:51,1.45%,1091.58,2322856
monitoring,2025-05-09T20:59:08,637.26%,1200.13,2322856
monitoring,2025-05-09T20:59:24,761.41%,1817.6,2322856
monitoring,2025-05-09T20:59:41,160.56%,1124.35,2322856
monitoring,2025-05-09T20:59:58,0.46%,1091.58,2322856
monitoring,2025-05-09T21:00:14,19.31%,1091.58,2322856
monitoring,2025-05-09T21:00:31,481.38%,1251.33,2322856
monitoring,2025-05-09T21:00:47,0.47%,1091.58,2322856
monitoring,2025-05-09T21:01:04,797.33%,2714.62,2322856
monitoring,2025-05-09T21:01:20,1.91%,1091.58,2322856
monitoring,2025-05-09T21:01:37,79.78%,1110.02,2322856
monitoring,2025-05-09T21:01:53,2.50%,1091.58,2322856
monitoring,2025-05-09T21:02:10,410.36%,1148.93,2322856
monitoring,2025-05-09T21:02:27,787.42%,2435.07,2322856
monitoring,2025-05-09T21:02:43,0.52%,1091.58,2322856
monitoring,2025-05-09T21:03:00,329.08%,1208.32,2322856
monitoring,2025-05-09T21:03:16,797.38%,1810.43,2322856
monitoring,2025-05-09T21:03:33,742.97%,2162.69,2322856
monitoring,2025-05-09T21:03:49,346.74%,1253.38,2322856
monitoring,2025-05-09T21:04:06,704.95%,3519.49,2322856
monitoring,2025-05-09T21:04:22,2.09%,1091.58,2322856
monitoring,2025-05-09T21:04:39,322.92%,1249.28,2322856
monitoring,2025-05-09T21:04:56,35.26%,1091.58,2322856
monitoring,2025-05-09T21:05:12,730.46%,2357.25,2322856
monitoring,2025-05-09T21:05:29,572.82%,2732.03,2322856
monitoring,2025-05-09T21:05:45,104.36%,1135.62,2322856
monitoring,2025-05-09T21:06:02,797.78%,2031.62,2322856
monitoring,2025-05-09T21:06:18,448.37%,1358.85,2322856
monitoring,2025-05-09T21:06:35,150.10%,1091.58,2322856
monitoring,2025-05-09T21:06:51,0.45%,1091.58,2322856
monitoring,2025-05-09T21:07:08,557.43%,1198.08,2322856
monitoring,2025-05-09T21:07:25,726.55%,1792,2322856
monitoring,2025-05-09T21:07:41,175.34%,1120.26,2322856
monitoring,2025-05-09T21:07:58,25.06%,1092.61,2322856
monitoring,2025-05-09T21:08:14,0.51%,1091.58,2322856
monitoring,2025-05-09T21:08:31,372.20%,1196.03,2322856
monitoring,2025-05-09T21:08:47,0.48%,1091.58,2322856
monitoring,2025-05-09T21:09:04,797.60%,2768.9,2322856
monitoring,2025-05-09T21:09:20,0.55%,1091.58,2322856
monitoring,2025-05-09T21:09:37,34.16%,1119.23,2322856
monitoring,2025-05-09T21:09:54,0.41%,1091.58,2322856
monitoring,2025-05-09T21:10:10,449.47%,1173.5,2322856
monitoring,2025-05-09T21:10:27,763.95%,2564.1,2322856
monitoring,2025-05-09T21:10:43,0.52%,1091.58,2322856
monitoring,2025-05-09T21:11:00,38.74%,1173.5,2322856
monitoring,2025-05-09T21:11:16,0.53%,1091.58,2322856
monitoring,2025-05-09T21:11:33,228.46%,1200.13,2322856
monitoring,2025-05-09T21:11:49,0.49%,1091.58,2322856
monitoring,2025-05-09T21:12:06,643.94%,3535.87,2322856
monitoring,2025-05-09T21:12:23,0.46%,1091.58,2322856
monitoring,2025-05-09T21:12:39,358.04%,1278.98,2322856
monitoring,2025-05-09T21:12:56,0.37%,1091.58,2322856
monitoring,2025-05-09T21:13:12,140.38%,1091.58,2322856
monitoring,2025-05-09T21:13:29,619.56%,2356.22,2322856
monitoring,2025-05-09T21:13:45,0.48%,1091.58,2322856
monitoring,2025-05-09T21:14:02,800.45%,2316.29,2322856
monitoring,2025-05-09T21:14:18,444.15%,1358.85,2322856
monitoring,2025-05-09T21:14:35,76.77%,1092.61,2322856
monitoring,2025-05-09T21:14:52,47.18%,1091.58,2322856
monitoring,2025-05-09T21:15:08,719.76%,1333.25,2322856
monitoring,2025-05-09T21:15:25,753.25%,1882.11,2322856
monitoring,2025-05-09T21:15:41,138.04%,1131.52,2322856
monitoring,2025-05-09T21:15:58,0.49%,1091.58,2322856
monitoring,2025-05-09T21:16:14,0.55%,1091.58,2322856
monitoring,2025-05-09T21:16:31,240.31%,1165.31,2322856
monitoring,2025-05-09T21:16:47,0.40%,1091.58,2322856
monitoring,2025-05-09T21:17:04,797.39%,2795.52,2322856
monitoring,2025-05-09T21:17:21,0.56%,1091.58,2322856
monitoring,2025-05-09T21:17:37,60.95%,1131.52,2322856
monitoring,2025-05-09T21:17:54,0.49%,1091.58,2322856
monitoring,2025-05-09T21:18:10,318.24%,1166.34,2322856
monitoring,2025-05-09T21:18:27,780.45%,2681.86,2322856
monitoring,2025-05-09T21:18:43,2.32%,1091.58,2322856
monitoring,2025-05-09T21:19:00,0.46%,1091.58,2322856
monitoring,2025-05-09T21:19:16,7.05%,1091.58,2322856
monitoring,2025-05-09T21:19:33,267.15%,1226.75,2322856
monitoring,2025-05-09T21:19:50,2.61%,1091.58,2322856
monitoring,2025-05-09T21:20:06,646.13%,3766.27,2322856
monitoring,2025-05-09T21:20:23,0.50%,1091.58,2322856
monitoring,2025-05-09T21:20:39,358.06%,1273.86,2322856
monitoring,2025-05-09T21:20:56,0.46%,1091.58,2322856
monitoring,2025-05-09T21:21:12,55.47%,1091.58,2322856
monitoring,2025-05-09T21:21:29,626.69%,1783.81,2322856
monitoring,2025-05-09T21:21:45,0.50%,1091.58,2322856
monitoring,2025-05-09T21:22:02,798.65%,2142.21,2322856
monitoring,2025-05-09T21:22:19,485.46%,1360.9,2322856
monitoring,2025-05-09T21:22:35,75.24%,1091.58,2322856
monitoring,2025-05-09T21:22:52,3.24%,1092.61,2322856
monitoring,2025-05-09T21:23:08,423.36%,1131.52,2322856
monitoring,2025-05-09T21:23:25,794.65%,1953.79,2322856
monitoring,2025-05-09T21:23:41,102.68%,1136.64,2322856
monitoring,2025-05-09T21:23:58,0.49%,1091.58,2322856
monitoring,2025-05-09T21:24:14,33.78%,1092.61,2322856
monitoring,2025-05-09T21:24:31,294.88%,1228.8,2322856
monitoring,2025-05-09T21:24:48,0.49%,1091.58,2322856
monitoring,2025-05-09T21:25:04,787.30%,2836.48,2322856
monitoring,2025-05-09T21:25:21,0.57%,1091.58,2322856
monitoring,2025-05-09T21:25:37,55.74%,1127.42,2322856
monitoring,2025-05-09T21:25:54,2.14%,1092.61,2322856
monitoring,2025-05-09T21:26:10,210.19%,1180.67,2322856
monitoring,2025-05-09T21:26:27,757.10%,2685.95,2322856
monitoring,2025-05-09T21:26:43,2.36%,1092.61,2322856
monitoring,2025-05-09T21:27:00,8.14%,1101.82,2322856
monitoring,2025-05-09T21:27:17,0.46%,1091.58,2322856
monitoring,2025-05-09T21:27:33,288.15%,1214.46,2322856
monitoring,2025-05-09T21:27:50,0.47%,1092.61,2322856
monitoring,2025-05-09T21:28:06,539.31%,3464.19,2322856
monitoring,2025-05-09T21:28:23,3.01%,1092.61,2322856
monitoring,2025-05-09T21:28:39,399.03%,1315.84,2322856
monitoring,2025-05-09T21:28:56,2.39%,1092.61,2322856
monitoring,2025-05-09T21:29:12,41.74%,1092.61,2322856
monitoring,2025-05-09T21:29:29,668.73%,1723.39,2322856
monitoring,2025-05-09T21:29:46,1.73%,1091.58,2322856
monitoring,2025-05-09T21:30:02,798.01%,2232.32,2322856
monitoring,2025-05-09T21:30:19,507.29%,1360.9,2322856
monitoring,2025-05-09T21:30:35,39.27%,1091.58,2322856
monitoring,2025-05-09T21:30:52,2.05%,1092.61,2322856
monitoring,2025-05-09T21:31:08,505.83%,1176.58,2322856
monitoring,2025-05-09T21:31:25,789.72%,1998.85,2322856
monitoring,2025-05-09T21:31:41,97.16%,1136.64,2322856
monitoring,2025-05-09T21:31:58,28.58%,1092.61,2322856
monitoring,2025-05-09T21:32:15,0.52%,1092.61,2322856
monitoring,2025-05-09T21:32:31,308.94%,1231.87,2322856
monitoring,2025-05-09T21:32:48,2.51%,1092.61,2322856
monitoring,2025-05-09T21:33:04,783.33%,2851.84,2322856
monitoring,2025-05-09T21:33:21,0.52%,1092.61,2322856
monitoring,2025-05-09T21:33:37,73.78%,1136.64,2322856
monitoring,2025-05-09T21:33:54,2.79%,1092.61,2322856
monitoring,2025-05-09T21:34:10,244.81%,1213.44,2322856
monitoring,2025-05-09T21:34:27,767.65%,2637.82,2322856
monitoring,2025-05-09T21:34:43,0.51%,1092.61,2322856
monitoring,2025-05-09T21:35:00,53.34%,1092.61,2322856
monitoring,2025-05-09T21:35:17,0.43%,1092.61,2322856
monitoring,2025-05-09T21:35:33,293.57%,1271.81,2322856
monitoring,2025-05-09T21:35:50,2.17%,1092.61,2322856
monitoring,2025-05-09T21:36:06,482.05%,3492.86,2322856
monitoring,2025-05-09T21:36:23,63.85%,1092.61,2322856
monitoring,2025-05-09T21:36:39,413.19%,1315.84,2322856
monitoring,2025-05-09T21:36:56,1.71%,1092.61,2322856
monitoring,2025-05-09T21:37:12,0.62%,1092.61,2322856
monitoring,2025-05-09T21:37:29,712.75%,1681.41,2322856
monitoring,2025-05-09T21:37:46,0.47%,1092.61,2322856
monitoring,2025-05-09T21:38:02,796.65%,2341.89,2322856
monitoring,2025-05-09T21:38:19,460.97%,1092.61,2322856
monitoring,2025-05-09T21:38:35,24.63%,1092.61,2322856
monitoring,2025-05-09T21:38:52,20.22%,1092.61,2322856
monitoring,2025-05-09T21:39:08,287.32%,1162.24,2322856
monitoring,2025-05-09T21:39:25,779.71%,2002.94,2322856
monitoring,2025-05-09T21:39:42,98.53%,1092.61,2322856
monitoring,2025-05-09T21:39:58,2.31%,1092.61,2322856
monitoring,2025-05-09T21:40:15,0.50%,1092.61,2322856
monitoring,2025-05-09T21:40:31,402.23%,1295.36,2322856
monitoring,2025-05-09T21:40:48,0.62%,1092.61,2322856
monitoring,2025-05-09T21:41:04,787.17%,2778.11,2322856
monitoring,2025-05-09T21:41:21,0.42%,1092.61,2322856
monitoring,2025-05-09T21:41:37,82.41%,1092.61,2322856
monitoring,2025-05-09T21:41:54,0.39%,1092.61,2322856
monitoring,2025-05-09T21:42:11,161.82%,1092.61,2322856
monitoring,2025-05-09T21:42:27,725.76%,2593.79,2322856
monitoring,2025-05-09T21:42:44,0.47%,1092.61,2322856
monitoring,2025-05-09T21:43:00,8.61%,1099.78,2322856
monitoring,2025-05-09T21:43:17,0.50%,1092.61,2322856
monitoring,2025-05-09T21:43:33,300.44%,1255.42,2322856
monitoring,2025-05-09T21:43:50,4.88%,1092.61,2322856
monitoring,2025-05-09T21:44:06,504.19%,3549.18,2322856
monitoring,2025-05-09T21:44:23,25.29%,1099.78,2322856
monitoring,2025-05-09T21:44:40,477.17%,1128.45,2322856
monitoring,2025-05-09T21:44:56,0.52%,1092.61,2322856
monitoring,2025-05-09T21:45:13,1.75%,1092.61,2322856
monitoring,2025-05-09T21:45:29,733.47%,1564.67,2322856
monitoring,2025-05-09T21:45:46,0.42%,1092.61,2322856
monitoring,2025-05-09T21:46:02,797.11%,2273.28,2322856
monitoring,2025-05-09T21:46:19,395.07%,1092.61,2322856
monitoring,2025-05-09T21:46:35,18.94%,1092.61,2322856
monitoring,2025-05-09T21:46:52,0.45%,1092.61,2322856
monitoring,2025-05-09T21:47:09,227.10%,1137.66,2322856
monitoring,2025-05-09T21:47:25,779.99%,2057.22,2322856
monitoring,2025-05-09T21:47:42,75.45%,1092.61,2322856
monitoring,2025-05-09T21:47:58,0.44%,1092.61,2322856
monitoring,2025-05-09T21:48:15,2.92%,1092.61,2322856
monitoring,2025-05-09T21:48:31,304.51%,1302.53,2322856
monitoring,2025-05-09T21:48:48,1.64%,1092.61,2322856
monitoring,2025-05-09T21:49:04,793.75%,3058.69,2322856
monitoring,2025-05-09T21:49:21,0.47%,1092.61,2322856
