prometheus,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
prometheus,2025-05-08T07:39:31,0.75%,155.7,19912
prometheus,2025-05-08T07:39:47,0.60%,155.7,20084
prometheus,2025-05-08T07:40:04,0.51%,155.7,20228
prometheus,2025-05-08T07:40:21,0.80%,156,20428
prometheus,2025-05-08T07:40:37,0.76%,155.8,20620
prometheus,2025-05-08T07:40:54,0.00%,155.7,20756
prometheus,2025-05-08T07:41:10,1.46%,155.9,20932
prometheus,2025-05-08T07:41:27,0.60%,155.9,21120
prometheus,2025-05-08T07:41:43,0.63%,155.9,21296
prometheus,2025-05-08T07:42:00,0.25%,155.9,21432
prometheus,2025-05-08T07:42:16,0.35%,155.9,21628
prometheus,2025-05-08T07:42:33,0.82%,155.9,21800
prometheus,2025-05-08T07:42:49,0.60%,155.9,21952
prometheus,2025-05-08T07:43:06,19.84%,156.8,22112
prometheus,2025-05-08T07:43:22,0.21%,156.2,22312
prometheus,2025-05-08T07:43:39,0.86%,156.2,22500
prometheus,2025-05-08T07:43:55,0.95%,156.2,22612
prometheus,2025-05-08T07:44:12,0.21%,156.2,22824
prometheus,2025-05-08T07:44:29,0.18%,156.2,22988
prometheus,2025-05-08T07:44:45,0.45%,156.2,23168
prometheus,2025-05-08T07:45:02,0.89%,156.3,23300
prometheus,2025-05-08T07:45:18,0.88%,156.6,23492
prometheus,2025-05-08T07:45:35,1.09%,156.4,23680
prometheus,2025-05-08T07:45:51,0.18%,156.4,23840
prometheus,2025-05-08T07:46:08,0.84%,156.4,23984
prometheus,2025-05-08T07:46:24,0.90%,156.4,24184
prometheus,2025-05-08T07:46:41,0.31%,156.4,24372
prometheus,2025-05-08T07:46:57,0.87%,156.4,24488
prometheus,2025-05-08T07:47:14,0.45%,156.5,24700
prometheus,2025-05-08T07:47:30,0.65%,156.5,24852
prometheus,2025-05-08T07:47:47,0.00%,156.5,25036
prometheus,2025-05-08T07:48:04,0.00%,156.5,25180
prometheus,2025-05-08T07:48:20,0.81%,156.5,25376
prometheus,2025-05-08T07:48:37,1.52%,156.6,25560
prometheus,2025-05-08T07:48:53,0.00%,156.5,25708
prometheus,2025-05-08T07:49:10,1.13%,156.6,25876
prometheus,2025-05-08T07:49:26,0.88%,156.6,26064
prometheus,2025-05-08T07:49:43,0.27%,156.6,26248
prometheus,2025-05-08T07:49:59,0.57%,156.6,26380
prometheus,2025-05-08T07:50:16,0.15%,156.6,26572
prometheus,2025-05-08T07:50:32,0.93%,156.6,26744
prometheus,2025-05-08T07:50:49,0.66%,156.6,26900
prometheus,2025-05-08T07:51:05,1.02%,156.7,27052
prometheus,2025-05-08T07:51:22,0.63%,156.8,27256
prometheus,2025-05-08T07:51:38,0.41%,156.8,27448
prometheus,2025-05-08T07:51:55,0.57%,156.8,27564
prometheus,2025-05-08T07:52:12,0.45%,156.8,27768
prometheus,2025-05-08T07:52:28,0.43%,156.8,27936
prometheus,2025-05-08T07:52:45,0.81%,156.8,28116
prometheus,2025-05-08T07:53:01,0.73%,156.8,28248
prometheus,2025-05-08T07:53:18,1.09%,157,28436
prometheus,2025-05-08T07:53:34,1.03%,157.2,28624
prometheus,2025-05-08T07:53:51,0.97%,157,28776
prometheus,2025-05-08T07:54:07,0.87%,157,28932
prometheus,2025-05-08T07:54:24,1.06%,157,29124
prometheus,2025-05-08T07:54:40,0.18%,157,29324
prometheus,2025-05-08T07:54:57,0.48%,157,29440
prometheus,2025-05-08T07:55:13,1.01%,157.4,29636
prometheus,2025-05-08T07:55:30,0.45%,157.1,29804
prometheus,2025-05-08T07:55:47,0.00%,157.2,29984
prometheus,2025-05-08T07:56:03,0.14%,157.2,30124
prometheus,2025-05-08T07:56:20,1.03%,157.4,30320
prometheus,2025-05-08T07:56:36,0.81%,157.2,30504
prometheus,2025-05-08T07:56:53,0.20%,157.2,30652
prometheus,2025-05-08T07:57:09,20.00%,157.2,30812
prometheus,2025-05-08T07:57:26,0.95%,157.2,31008
prometheus,2025-05-08T07:57:42,0.23%,157.2,31192
prometheus,2025-05-08T07:57:59,0.88%,157.2,31316
prometheus,2025-05-08T07:58:15,0.19%,157.2,31524
prometheus,2025-05-08T07:58:32,1.00%,157.2,31680
prometheus,2025-05-08T07:58:48,0.59%,157.2,31848
prometheus,2025-05-08T07:59:05,1.09%,157.2,31996
prometheus,2025-05-08T07:59:21,0.83%,157.3,32196
prometheus,2025-05-08T07:59:38,0.42%,157.4,32396
prometheus,2025-05-08T07:59:55,0.48%,157.6,32516
prometheus,2025-05-08T08:00:11,0.83%,158,32712
prometheus,2025-05-08T08:00:28,0.29%,171.1,36980
prometheus,2025-05-08T08:00:44,0.54%,181.6,37164
prometheus,2025-05-08T08:01:01,0.48%,187.9,37288
prometheus,2025-05-08T08:01:17,0.45%,189.2,37484
prometheus,2025-05-08T08:01:34,0.46%,190,41764
prometheus,2025-05-08T08:01:50,1.19%,190.4,41908
prometheus,2025-05-08T08:02:07,0.32%,190.9,42076
prometheus,2025-05-08T08:02:23,1.10%,191.1,42264
prometheus,2025-05-08T08:02:40,0.12%,191.1,42468
prometheus,2025-05-08T08:02:56,0.51%,191.1,42572
prometheus,2025-05-08T08:03:13,1.10%,177.8,42776
prometheus,2025-05-08T08:03:30,0.35%,177.8,42940
prometheus,2025-05-08T08:03:46,0.00%,178.6,43128
prometheus,2025-05-08T08:04:03,0.19%,179.3,43268
prometheus,2025-05-08T08:04:19,0.77%,179.6,43456
prometheus,2025-05-08T08:04:36,0.31%,179.6,43648
prometheus,2025-05-08T08:04:52,0.26%,179.6,43796
prometheus,2025-05-08T08:05:09,0.77%,179.9,43952
prometheus,2025-05-08T08:05:25,0.21%,179.8,44152
prometheus,2025-05-08T08:05:42,0.83%,179.8,44328
prometheus,2025-05-08T08:05:58,1.30%,179.8,44452
prometheus,2025-05-08T08:06:15,1.11%,179.8,44660
prometheus,2025-05-08T08:06:31,1.50%,179.9,44816
prometheus,2025-05-08T08:06:48,0.96%,179.9,44984
prometheus,2025-05-08T08:07:05,1.14%,180.1,45128
prometheus,2025-05-08T08:07:21,1.09%,179.9,45332
prometheus,2025-05-08T08:07:38,0.51%,180,45540
prometheus,2025-05-08T08:07:54,0.08%,179.9,45660
prometheus,2025-05-08T08:08:11,0.94%,180,45848
prometheus,2025-05-08T08:08:27,0.00%,179.9,46032
prometheus,2025-05-08T08:08:44,0.49%,180,46204
